DAY,MESSAGES,REPLIES,CLIENTS,REVENUE,MSG_TO_REPLIES_PCT,REPLIES_TO_CLIENTS_PCT,REVENUE_PER_CLIENT,GOAL_ACHIEVED
1,0,0,0,0,=IF(B2=0;0;C2/B2),=IF(C2=0;0;D2/C2),=IF(D2=0;0;E2/D2),=IF(E2>=2857;"DA";"NET")
2,0,0,0,0,=IF(B3=0;0;C3/B3),=IF(C3=0;0;D3/C3),=IF(D3=0;0;E3/D3),=IF(E3>=2857;"DA";"NET")
3,0,0,0,0,=IF(B4=0;0;C4/B4),=IF(C4=0;0;D4/C4),=IF(D4=0;0;E4/D4),=IF(E4>=2857;"DA";"NET")
4,0,0,0,0,=IF(B5=0;0;C5/B5),=IF(C5=0;0;D5/C5),=IF(D5=0;0;E5/D5),=IF(E5>=2857;"DA";"NET")
5,0,0,0,0,=IF(B6=0;0;C6/B6),=IF(C6=0;0;D6/C6),=IF(D6=0;0;E6/D6),=IF(E6>=2857;"DA";"NET")
6,0,0,0,0,=IF(B7=0;0;C7/B7),=IF(C7=0;0;D7/C7),=IF(D7=0;0;E7/D7),=IF(E7>=2857;"DA";"NET")
7,0,0,0,0,=IF(B8=0;0;C8/B8),=IF(C8=0;0;D8/C8),=IF(D8=0;0;E8/D8),=IF(E8>=2857;"DA";"NET")
8,0,0,0,0,=IF(B9=0;0;C9/B9),=IF(C9=0;0;D9/C9),=IF(D9=0;0;E9/D9),=IF(E9>=2857;"DA";"NET")
9,0,0,0,0,=IF(B10=0;0;C10/B10),=IF(C10=0;0;D10/C10),=IF(D10=0;0;E10/D10),=IF(E10>=2857;"DA";"NET")
10,0,0,0,0,=IF(B11=0;0;C11/B11),=IF(C11=0;0;D11/C11),=IF(D11=0;0;E11/D11),=IF(E11>=2857;"DA";"NET")
11,0,0,0,0,=IF(B12=0;0;C12/B12),=IF(C12=0;0;D12/C12),=IF(D12=0;0;E12/D12),=IF(E12>=2857;"DA";"NET")
12,0,0,0,0,=IF(B13=0;0;C13/B13),=IF(C13=0;0;D13/C13),=IF(D13=0;0;E13/D13),=IF(E13>=2857;"DA";"NET")
13,0,0,0,0,=IF(B14=0;0;C14/B14),=IF(C14=0;0;D14/C14),=IF(D14=0;0;E14/D14),=IF(E14>=2857;"DA";"NET")
14,0,0,0,0,=IF(B15=0;0;C15/B15),=IF(C15=0;0;D15/C15),=IF(D15=0;0;E15/D15),=IF(E15>=2857;"DA";"NET")
TOTAL,=SUM(B2:B15),=SUM(C2:C15),=SUM(D2:D15),=SUM(E2:E15),=IF(B16=0;0;C16/B16),=IF(C16=0;0;D16/C16),=IF(D16=0;0;E16/D16),=IF(E16>=40000;"GOAL REACHED";"KEEP PUSHING")
