"DisplayName","DisplayVersion","Publisher","InstallDate"
,,,
"Git","2.53.0.3","The Git Development Community","20260420"
,,"Microsoft Corporation",
,,"Microsoft Corporation",
,,"Microsoft Corporation",
,,,
"Python 3.13.13 Standard Library (64-bit symbols)","3.13.13150.0","Python Software Foundation","20260502"
"Python 3.13.13 Freethreaded Interpreter (64-bit)","3.13.13150.0","Python Software Foundation","20260502"
"Microsoft Update Health Tools","3.74.0.0","Microsoft Corporation","20260421"
"Python 3.13.13 Tcl/Tk Support (64-bit debug)","3.13.13150.0","Python Software Foundation","20260502"
"Python 3.13.13 Freethreaded Interpreter (64-bit debug)","3.13.13150.0","Python Software Foundation","20260502"
"Python 3.13.13 Tcl/Tk Support (64-bit)","3.13.13150.0","Python Software Foundation","20260502"
"Python 3.13.13 Core Interpreter (64-bit debug)","3.13.13150.0","Python Software Foundation","20260502"
"Python 3.13.13 Test Suite (64-bit symbols)","3.13.13150.0","Python Software Foundation","20260502"
"Python 3.13.13 Test Suite (64-bit)","3.13.13150.0","Python Software Foundation","20260502"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","20260420"
"Python 3.13.13 Executables (64-bit)","3.13.13150.0","Python Software Foundation","20260502"
"Python 3.13.13 Development Libraries (64-bit debug)","3.13.13150.0","Python Software Foundation","20260502"
"Python 3.13.13 Core Interpreter (64-bit symbols)","3.13.13150.0","Python Software Foundation","20260502"
"Google Drive","124.0.3.0","Google LLC",
"Python 3.13.13 Standard Library (64-bit debug)","3.13.13150.0","Python Software Foundation","20260502"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","20260420"
"Python 3.13.13 Core Interpreter (64-bit)","3.13.13150.0","Python Software Foundation","20260502"
"Python 3.13.13 Executables (64-bit symbols)","3.13.13150.0","Python Software Foundation","20260502"
"Node.js","24.15.0","Node.js Foundation","20260420"
"Python 3.13.13 Standard Library (64-bit)","3.13.13150.0","Python Software Foundation","20260502"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.25.28902","Microsoft","20260423"
"Python 3.13.13 Add to Path (64-bit)","3.13.13150.0","Python Software Foundation","20260502"
"Python 3.13.13 Documentation (64-bit)","3.13.13150.0","Python Software Foundation","20260502"
"Python 3.13.13 Tcl/Tk Support (64-bit symbols)","3.13.13150.0","Python Software Foundation","20260502"
"Windows Subsystem for Linux","2.6.3.0","Microsoft Corporation","20260430"
"Python 3.13.13 Freethreaded Interpreter (64-bit symbols)","3.13.13150.0","Python Software Foundation","20260502"
"Python 3.13.13 Development Libraries (64-bit)","3.13.13150.0","Python Software Foundation","20260502"
"Python 3.13.13 Test Suite (64-bit debug)","3.13.13150.0","Python Software Foundation","20260502"
"Update for x64-based Windows Systems (KB5001716)","8.94.0.0","Microsoft Corporation","20260422"
"Python 3.13.13 Executables (64-bit debug)","3.13.13150.0","Python Software Foundation","20260502"
"Python 3.13.13 pip Bootstrap (64-bit)","3.13.13150.0","Python Software Foundation","20260502"
