"Name","Command","User","Location"
"GoogleDriveFS","C:\Program Files\Google\Drive File Stream\124.0.3.0\GoogleDriveFS.exe --startup_mode","NT AUTHORITY\СИСТЕМА","HKU\S-1-5-18\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"IMPERIAL_BOOT","IMPERIAL_BOOT.bat","DESKTOP-N7983RL\StabX","Startup"
"OneDrive","""C:\Users\StabX\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" /background","DESKTOP-N7983RL\StabX","HKU\S-1-5-21-3782950552-3312369345-2354942929-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"GoogleDriveFS","""C:\Program Files\Google\Drive File Stream\124.0.3.0\GoogleDriveFS.exe"" --startup_mode","DESKTOP-N7983RL\StabX","HKU\S-1-5-21-3782950552-3312369345-2354942929-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"MicrosoftEdgeAutoLaunch_6A483FCC6B3C042E5BCFD8603A28DBDD","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --win-session-start","DESKTOP-N7983RL\StabX","HKU\S-1-5-21-3782950552-3312369345-2354942929-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"Teams","""C:\Users\StabX\AppData\Local\Microsoft\WindowsApps\MSTeams_8wekyb3d8bbwe\ms-teams.exe"" msteams:system-initiated","DESKTOP-N7983RL\StabX","HKU\S-1-5-21-3782950552-3312369345-2354942929-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"GoogleDriveFS","C:\Program Files\Google\Drive File Stream\124.0.3.0\GoogleDriveFS.exe --startup_mode",".DEFAULT","HKU\.DEFAULT\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"SecurityHealth","%windir%\system32\SecurityHealthSystray.exe","Public","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"RtkAudUService","""C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_9b2689b4e3586127\RtkAudUService64.exe"" -background","Public","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
